"Step","Graphormer Simple Classification on MolecularWeight 10k 100_epochs - loss/train","Graphormer Simple Classification on MolecularWeight 10k 100_epochs - loss/train__MIN","Graphormer Simple Classification on MolecularWeight 10k 100_epochs - loss/train__MAX"
"0","150968.43574058532","150968.43574058532","150968.43574058532"
"1","70753.1246718607","70753.1246718607","70753.1246718607"
"2","49965.7393727206","49965.7393727206","49965.7393727206"
"3","48286.6558118407","48286.6558118407","48286.6558118407"
"4","47507.945430113316","47507.945430113316","47507.945430113316"
"5","43920.81740405536","43920.81740405536","43920.81740405536"
"6","40301.98663060525","40301.98663060525","40301.98663060525"
"7","37502.20736851998","37502.20736851998","37502.20736851998"
"8","34824.46370770526","34824.46370770526","34824.46370770526"
"9","33084.45688617201","33084.45688617201","33084.45688617201"
"10","31576.296870976974","31576.296870976974","31576.296870976974"
"11","30200.36091696392","30200.36091696392","30200.36091696392"
"12","36038.31023542105","36038.31023542105","36038.31023542105"
"13","48796.160051434665","48796.160051434665","48796.160051434665"
"14","47272.65623850894","47272.65623850894","47272.65623850894"
"15","41871.134590212525","41871.134590212525","41871.134590212525"
"16","36954.8163787874","36954.8163787874","36954.8163787874"
"17","35720.29523859069","35720.29523859069","35720.29523859069"
"18","33378.451508889164","33378.451508889164","33378.451508889164"
"19","31683.726275352954","31683.726275352954","31683.726275352954"
"20","30442.267823768823","30442.267823768823","30442.267823768823"
"21","28923.845328434585","28923.845328434585","28923.845328434585"
"22","25954.659620397328","25954.659620397328","25954.659620397328"
"23","25031.78804278651","25031.78804278651","25031.78804278651"
"24","24455.507855135693","24455.507855135693","24455.507855135693"
"25","23987.95413992709","23987.95413992709","23987.95413992709"
"26","23463.774330928994","23463.774330928994","23463.774330928994"
"27","23268.622879782903","23268.622879782903","23268.622879782903"
"28","22815.670810742722","22815.670810742722","22815.670810742722"
"29","21798.495287844064","21798.495287844064","21798.495287844064"
"30","21608.890903693737","21608.890903693737","21608.890903693737"
"31","25042.382361991942","25042.382361991942","25042.382361991942"
"32","24967.669222287765","24967.669222287765","24967.669222287765"
"33","20347.934735434294","20347.934735434294","20347.934735434294"
"34","19776.30219412975","19776.30219412975","19776.30219412975"
"35","19739.618219314172","19739.618219314172","19739.618219314172"
"36","19328.0097370684","19328.0097370684","19328.0097370684"
"37","18497.829989237845","18497.829989237845","18497.829989237845"
"38","18536.433579818364","18536.433579818364","18536.433579818364"
"39","17969.678497134657","17969.678497134657","17969.678497134657"
"40","18279.300202245668","18279.300202245668","18279.300202245668"
"41","21605.191954816517","21605.191954816517","21605.191954816517"
"42","19130.775090567946","19130.775090567946","19130.775090567946"
"43","17164.5760336081","17164.5760336081","17164.5760336081"
"44","17379.778105695128","17379.778105695128","17379.778105695128"
"45","16393.404767942906","16393.404767942906","16393.404767942906"
"46","16919.50514086713","16919.50514086713","16919.50514086713"
"47","16748.14264838292","16748.14264838292","16748.14264838292"
"48","16035.121909448246","16035.121909448246","16035.121909448246"
"49","15896.75411512611","15896.75411512611","15896.75411512611"
"50","19173.428833545713","19173.428833545713","19173.428833545713"
"51","18462.481143870096","18462.481143870096","18462.481143870096"
"52","18688.9498716596","18688.9498716596","18688.9498716596"
"53","17335.14101420004","17335.14101420004","17335.14101420004"
"54","17159.062267523892","17159.062267523892","17159.062267523892"
"55","16006.973091163989","16006.973091163989","16006.973091163989"
"56","15255.024622414232","15255.024622414232","15255.024622414232"
"57","15124.893603174247","15124.893603174247","15124.893603174247"
"58","15668.139480639487","15668.139480639487","15668.139480639487"
"59","16183.047224930242","16183.047224930242","16183.047224930242"
"60","14329.346643479936","14329.346643479936","14329.346643479936"
"61","13983.785011075594","13983.785011075594","13983.785011075594"
"62","14292.12128269142","14292.12128269142","14292.12128269142"
"63","13728.66420193611","13728.66420193611","13728.66420193611"
"64","13885.052213044166","13885.052213044166","13885.052213044166"
"65","14409.117246628195","14409.117246628195","14409.117246628195"
"66","13389.596243090735","13389.596243090735","13389.596243090735"
"67","12991.016791448117","12991.016791448117","12991.016791448117"
"68","12753.209883696265","12753.209883696265","12753.209883696265"
"69","12507.806917651855","12507.806917651855","12507.806917651855"
"70","12649.378559688896","12649.378559688896","12649.378559688896"
"71","12290.153259891096","12290.153259891096","12290.153259891096"
"72","12178.292777587934","12178.292777587934","12178.292777587934"
"73","12434.543203285362","12434.543203285362","12434.543203285362"
"74","11786.106501787748","11786.106501787748","11786.106501787748"
"75","11886.335232334073","11886.335232334073","11886.335232334073"
"76","11667.182887693752","11667.182887693752","11667.182887693752"
"77","11519.50866250451","11519.50866250451","11519.50866250451"
"78","11264.219631879025","11264.219631879025","11264.219631879025"
"79","11182.067379456223","11182.067379456223","11182.067379456223"
"80","11139.314576246157","11139.314576246157","11139.314576246157"
"81","11004.231454322047","11004.231454322047","11004.231454322047"
"82","10923.382908170384","10923.382908170384","10923.382908170384"
"83","10810.607278831558","10810.607278831558","10810.607278831558"
"84","10739.479736413728","10739.479736413728","10739.479736413728"
"85","10696.385622946858","10696.385622946858","10696.385622946858"
"86","10583.046715471328","10583.046715471328","10583.046715471328"
"87","10544.015492777144","10544.015492777144","10544.015492777144"
"88","10450.402836519077","10450.402836519077","10450.402836519077"
"89","10442.82837369099","10442.82837369099","10442.82837369099"
"90","10361.430667044893","10361.430667044893","10361.430667044893"
"91","10330.022183002651","10330.022183002651","10330.022183002651"
"92","10266.169912156996","10266.169912156996","10266.169912156996"
"93","10235.44444697941","10235.44444697941","10235.44444697941"
"94","10167.43865604122","10167.43865604122","10167.43865604122"
"95","10174.960542035187","10174.960542035187","10174.960542035187"
"96","10130.859935984683","10130.859935984683","10130.859935984683"
"97","10110.148252175495","10110.148252175495","10110.148252175495"
"98","10084.004688202063","10084.004688202063","10084.004688202063"
"99","10089.316984544212","10089.316984544212","10089.316984544212"
