"Step","MolCLR classification Molecular Weight - loss/training","MolCLR classification Molecular Weight - loss/training__MIN","MolCLR classification Molecular Weight - loss/training__MAX"
"0","156.0557823791504","156.0557823791504","156.0557823791504"
"1","80.03623342895507","80.03623342895507","80.03623342895507"
"2","79.35569307708741","79.35569307708741","79.35569307708741"
"3","79.37396657562256","79.37396657562256","79.37396657562256"
"4","78.37271716308594","78.37271716308594","78.37271716308594"
"5","78.42465140533447","78.42465140533447","78.42465140533447"
"6","78.04355771636963","78.04355771636963","78.04355771636963"
"7","78.19210498809815","78.19210498809815","78.19210498809815"
"8","77.59647460174561","77.59647460174561","77.59647460174561"
"9","77.58999516296387","77.58999516296387","77.58999516296387"
"10","77.25910768890381","77.25910768890381","77.25910768890381"
"11","77.48263417816162","77.48263417816162","77.48263417816162"
"12","77.27581856536865","77.27581856536865","77.27581856536865"
"13","77.01224842834473","77.01224842834473","77.01224842834473"
"14","77.07717637252807","77.07717637252807","77.07717637252807"
"15","76.93649417114258","76.93649417114258","76.93649417114258"
"16","76.86600032043457","76.86600032043457","76.86600032043457"
"17","76.80222059249878","76.80222059249878","76.80222059249878"
"18","76.7827087097168","76.7827087097168","76.7827087097168"
"19","76.7908872756958","76.7908872756958","76.7908872756958"
"20","77.11107749938965","77.11107749938965","77.11107749938965"
"21","76.80152225494385","76.80152225494385","76.80152225494385"
"22","76.51494268035889","76.51494268035889","76.51494268035889"
"23","76.38437702941894","76.38437702941894","76.38437702941894"
"24","76.14506723022461","76.14506723022461","76.14506723022461"
"25","76.6088067855835","76.6088067855835","76.6088067855835"
"26","76.42150875854492","76.42150875854492","76.42150875854492"
"27","76.28909672546386","76.28909672546386","76.28909672546386"
"28","76.50650495147705","76.50650495147705","76.50650495147705"
"29","76.41098915100098","76.41098915100098","76.41098915100098"
"30","76.18187239074707","76.18187239074707","76.18187239074707"
"31","76.71159789276123","76.71159789276123","76.71159789276123"
"32","76.65050074005127","76.65050074005127","76.65050074005127"
"33","75.86147273254394","75.86147273254394","75.86147273254394"
"34","75.89311966323852","75.89311966323852","75.89311966323852"
"35","76.17257572174073","76.17257572174073","76.17257572174073"
"36","75.91801696777344","75.91801696777344","75.91801696777344"
"37","76.25783041381835","76.25783041381835","76.25783041381835"
"38","76.09460060882569","76.09460060882569","76.09460060882569"
"39","76.3392837677002","76.3392837677002","76.3392837677002"
"40","76.02289614868164","76.02289614868164","76.02289614868164"
